SKU,Localized For,Title,Product Description,Condition,List Price,Picture URL 1,Picture URL 2,Picture URL 3,Picture URL 4,Picture URL 5,Picture URL 6,Picture URL 7,Picture URL 8,Picture URL 9,Picture URL 10,Attribute Name 1,Attribute Value 1,Attribute Name 2,Attribute Value 2,Attribute Name 3,Attribute Value 3,Attribute Name 4,Attribute Value 4,Attribute Name 5,Attribute Value 5,Attribute Name 6,Attribute Value 6,Attribute Name 7,Attribute Value 7,Attribute Name 8,Attribute Value 8,Attribute Name 9,Attribute Value 9,Attribute Name 10,Attribute Value 10,Attribute Name 11,Attribute Value 11,Attribute Name 12,Attribute Value 12,Attribute Name 13,Attribute Value 13,Attribute Name 14,Attribute Value 14,Attribute Name 15,Attribute Value 15,Attribute Name 16,Attribute Value 16,Attribute Name 17,Attribute Value 17,Attribute Name 18,Attribute Value 18,Attribute Name 19,Attribute Value 19
216407565,en_US,Складной нож Boker Plus 01BO894 Takara CF,"",NEW,9080.0,https://static-ru.insales.ru/images/products/1/5996/377321324/8fc8fd82b04232b53c05734f9304ea2c-700x700.jpg,https://static-ru.insales.ru/images/products/1/5999/377321327/dd36c06ae5c3c83f49dba495936bc558-700x700.jpg,"","","","","","","","",Производитель,Boker,Длина клинка,80 мм,Материал рукояти,Карбон,Общая длина,180 мм,Толщина клинка,"2,8 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Liner-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407621,en_US,Складной нож Cold Steel 26WD Air Lite Drop Point,"",NEW,7370.0,https://static-ru.insales.ru/images/products/1/6117/377321445/357c462b9935d0d499b75fd768076569-700x700.jpg,https://static-ru.insales.ru/images/products/1/6123/377321451/187f7d40224a903b520b20448370d5af-700x700.jpg,"","","","","","","","",Производитель,Cold Steel,Длина клинка,89 мм,Материал рукояти,Чёрный G10,Общая длина,203 мм,Толщина клинка,"3,0 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Tri-Ad-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407840,en_US,Нож складной Солдатский Victorinox 0.9415.20 Hunter Pro Alox,"",NEW,9920.0,https://static-ru.insales.ru/images/products/1/6534/377321862/1f56392a6e729088596f86c505509e18-700x700.jpg,https://static-ru.insales.ru/images/products/1/6540/377321868/4658fac8b670a13283bb69f0747250f0-700x700.jpg,"","","","","","","","",Производитель,Victorinox,Длина клинка,97 мм,Материал рукояти,Алюминий,Общая длина,234 мм,Толщина клинка,"2,2 мм",Вес,186 гр,Фиксатор клинка,замок Back-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407889,en_US,"Складной нож BUCK 0112BRS6 112 Slim Pro Brown Micarta S30V, коричневая рукоять","",NEW,7900.0,https://static-ru.insales.ru/images/products/1/6626/377321954/149300c986cecfc82d3d239b2eea6874-700x700.jpg,https://static-ru.insales.ru/images/products/1/6635/377321963/21f714a3c1653b54d615c335f8552638-700x700.jpg,"","","","","","","","",Производитель,Buck,Длина клинка,76 мм,Материал рукояти,Микарта,Общая длина,184 мм,Толщина клинка,"3,0 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Back-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407925,en_US,Складной нож Boker 01bo293 Kwaiken Flipper Tactical,"<font>Производитель: Boker ГерманияСтрана изготовитель: Тайвань<br>Общая длина: 21,3 см.<br>Длина лезвия: 9,0 см.<br>Вес: 118 гр.<br>Толщина лезвия: 3,2 мм.<br>Материал лезвия: VG-10<br>Материал рукояти: G-10<br>Дизайнер: Lucas Burnley<br>Тип замка: Liner Lock<br></font><br>",NEW,10700.0,https://static-ru.insales.ru/images/products/1/6702/377322030/8d382681b7666e25a5893e0f48bef6f8-700x700.jpg,https://static-ru.insales.ru/images/products/1/6710/377322038/26a60d012f9e066d421a680c9a7aa560-700x700.jpg,"","","","","","","","",Производитель,Boker,Длина клинка,90 мм,Материал рукояти,Чёрный G10,Общая длина,213 мм,Толщина клинка,"3,2 мм",Фирма производитель,Boker Plus,Вес,118 гр,Обработка клинка,Black finish,Фиксатор клинка,замок Liner-Lock,Дизайн,Lucas Burnley,,,,,,,,,,,,,,,,,,
216407770,en_US,Автоматический нож с боковым выбросом Pro-Tech GODSON 706C Cocobolo,"<p><span style=""font-size: 12pt;"">Общая длина (мм): 195</span><br /><span style=""font-size: 12pt;"">Длина клинка (мм): 81</span><br /><span style=""font-size: 12pt;"">Толщина обуха (мм): 2,7</span><br /><span style=""font-size: 12pt;"">Марка стали: 154CM</span><br /><span style=""font-size: 12pt;"">Тип обработки клинка: Satin</span><br /><span style=""font-size: 12pt;"">Длина рукояти (мм): 114</span><br /><span style=""font-size: 12pt;"">Материал рукояти: Алюминий/Кость</span><br /><span style=""font-size: 12pt;"">Тип замка: Button-Lock</span><br /><span style=""font-size: 12pt;"">Вес (гр): 90</span><br /><span style=""font-size: 12pt;"">Материал клипсы: Сталь</span><br /><span style=""font-size: 12pt;"">Компания производитель: Pro-Tech Knives (USA)</span><br /><span style=""font-size: 12pt;"">Страна изготовитель: США</span></p>",NEW,28120.0,https://static-ru.insales.ru/images/products/1/6405/377321733/f225ca6bd7ee36b2a8b1f33feb377509-700x700.jpg,"","","","","","","","","",Производитель,Pro-Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216407803,en_US,Складной нож CRKT Columbia River R2302 Hollow-Point,"",NEW,3750.0,https://static-ru.insales.ru/images/products/1/6471/377321799/15cf1d51ca7b09e5ba147b4e06ac9261-700x700.jpg,https://static-ru.insales.ru/images/products/1/6472/377321800/6b31efe2ec70323474484a1b7749c840-700x700.jpg,https://static-ru.insales.ru/images/products/1/6478/377321806/1d0a96761d7c5a60857cd2203fc65e88-700x700.jpg,"","","","","","","",Производитель,CRKT,Длина клинка,80 мм,Материал рукояти,"Glass Reinforced Nylon, стал",Общая длина,190 мм,Толщина клинка,"3,2 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Frame-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407932,en_US,"Складной нож CRKT Columbia River R2802 Trajectory, полуавтомат","",NEW,3000.0,https://static-ru.insales.ru/images/products/1/6725/377322053/55052953715ef35ab876880537161476-700x700.jpg,https://static-ru.insales.ru/images/products/1/6729/377322057/2ac30bc5485e9398560caa107ffe52e7-700x700.jpg,"","","","","","","","",Производитель,CRKT,Длина клинка,82 мм,Материал рукояти,Сталь 2Cr13,Общая длина,176 мм,Толщина клинка,"2,7 мм",Обработка клинка,Satin finish,Фиксатор клинка,замок Frame-Lock,,,,,,,,,,,,,,,,,,,,,,,,
216407325,en_US,Раскладной нож Boker 01bo262 Ridge,"<p><span>Производитель: Boker ГерманияСтрана изготовитель: Китай<br />Общая длина: 20,4 см.<br />Длина клинка: 8,8 см.<br />Вес: 112 гр.<br />Толщина клинка: 4 мм.<br />Материал клинка: сталь D2<br />Материал рукояти: G-10<br />Система и способ открытия: ручная за флиппер<br />Тип замка:FrameLock</span></p>",NEW,7620.0,https://static-ru.insales.ru/images/products/1/5466/377320794/1831b5fd13f258b7ebce0b598ce3a211-700x700.jpg,https://static-ru.insales.ru/images/products/1/5484/377320812/7b3bb200fe6bf450e7e00e557249dcc9-700x700.jpg,https://static-ru.insales.ru/images/products/1/5487/377320815/c2c802ba39eaa40a4ccb87f1946920cb-700x700.jpg,"","","","","","","",Производитель,Boker,Длина клинка,88 мм,Материал рукояти,"Чёрный G10, нержавеющая сталь",Общая длина,204 мм,Толщина клинка,"4,0 мм",Фирма производитель,Boker Plus,Вес,112 гр,Обработка клинка,Stonewash,Фиксатор клинка,замок Frame-Lock,,,,,,,,,,,,,,,,,,,,
216407745,en_US,"Перочинный нож Солдатский Victorinox 0.8463 Trailmaster, красный","",NEW,4500.0,https://static-ru.insales.ru/images/products/1/6348/377321676/4f0145c0546d787e0d0556ab2d4b3da7-700x700.jpg,"","","","","","","","","",Производитель,Victorinox,Длина в закрытом состоянии,111 мм,Цвет,красный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
